"batsman","pacespin","format","batting_team","year","matches","runs","balls","wickets","fours","sixes","sr","bpw","nbsr"
"M Ashwin","Spin","IPL","ALL",9999,2,5,11,1,0,0,45.5,11,45.5
"M Beitaki","Pace","T20","ALL",9999,5,96,78,4,11,4,123.1,19.5,44.4
"M Beitaki","Spin","T20","ALL",9999,6,81,54,2,10,4,150,27,42.5
"M Bhanuka","Pace","T20","ALL",9999,3,33,31,0,5,0,106.5,999,50
"M Bhanuka","Spin","T20","ALL",9999,4,31,35,4,2,0,88.6,8.8,69.7
"M Bryant","Pace","BBL","ALL",9999,37,476,342,22,65,13,139.2,15.5,52.3
"M Bryant","Spin","BBL","ALL",9999,29,306,219,14,30,14,139.7,15.6,58.3
"M Camara","Pace","T20","ALL",9999,1,0,6,1,0,0,0,6,0
"M Camara","Spin","T20","ALL",9999,1,0,3,0,0,0,0,999,0
"M Carter","Pace","NTB","ALL",9999,9,69,52,4,5,4,132.7,13,58.1
"M Carter","Spin","NTB","ALL",9999,5,5,13,2,0,0,38.5,6.5,38.5
"M Chauhan","Pace","T20","ALL",9999,1,1,2,0,0,0,50,999,50
"M Chauhan","Spin","T20","ALL",9999,1,0,2,1,0,0,0,2,0
"M Cohen","Pace","T20","ALL",9999,2,29,37,1,3,0,78.4,37,50
"M Cohen","Spin","T20","ALL",9999,3,18,23,2,0,0,78.3,11.5,78.3
"M Cope","Pace","T20","ALL",9999,2,7,13,1,1,0,53.8,13,25
"M Cope","Spin","T20","ALL",9999,1,3,2,0,0,0,150,999,150
"M de Lange","Pace","NTB","ALL",9999,19,109,85,10,11,4,128.2,8.5,58.6
"M de Lange","Spin","NTB","ALL",9999,11,77,51,5,6,5,151,10.2,57.5
"M Deyal","Pace","CPL","ALL",9999,16,144,114,10,11,9,126.3,11.4,48.9
"M Deyal","Spin","CPL","ALL",9999,15,213,154,9,20,9,138.3,17.1,63.2
"M Dixit","Pace","T20","ALL",9999,2,6,6,2,0,0,100,3,100
"M Dixit","Spin","T20","ALL",9999,1,3,2,0,0,0,150,999,150
"M Dumbuya","Pace","T20","ALL",9999,2,1,4,1,0,0,25,4,25
"M Faheem","Pace","T20","ALL",9999,3,2,4,2,0,0,50,2,50
"M Faheem","Spin","T20","ALL",9999,3,1,4,2,0,0,25,2,25
"M Faraz Akram","Pace","T20","ALL",9999,1,2,4,0,0,0,50,999,50
"M Fontaine","Pace","T20","ALL",9999,1,4,4,1,0,0,100,4,100
"M Gherasim","Pace","T20","ALL",9999,1,0,3,0,0,0,0,999,0
"M Gilkes","Pace","BBL","ALL",9999,7,101,96,4,8,4,105.2,24,53.6
"M Gilkes","Spin","BBL","ALL",9999,6,43,42,4,3,1,102.4,10.5,65.8
"M Hoffman","Pace","T20","ALL",9999,2,14,20,0,1,0,70,999,52.6
"M Hoffman","Spin","T20","ALL",9999,1,1,3,1,0,0,33.3,3,33.3
"M Jansen","Pace","IPL","ALL",9999,2,0,3,2,0,0,0,1.5,0
"M Jele","Pace","T20","ALL",9999,4,1,8,3,0,0,12.5,2.7,12.5
"M Jele","Spin","T20","ALL",9999,2,1,2,0,0,0,50,999,50
"M Kadyan","Pace","T20","ALL",9999,2,10,16,1,1,0,62.5,16,40
"M Kadyan","Spin","T20","ALL",9999,1,19,11,1,1,2,172.7,11,37.5
"M Kelly","Pace","BBL","ALL",9999,7,45,35,3,3,2,128.6,11.7,70
"M Kelly","Spin","BBL","ALL",9999,3,16,11,1,1,1,145.5,11,66.7
"M Klinger","Pace","BBL","ALL",9999,34,536,452,22,61,11,118.6,20.5,59.5
"M Klinger","Pace","NTB","ALL",9999,49,1187,866,30,123,39,137.1,28.9,65.5
"M Klinger","Pace","T20","ALL",9999,3,113,78,2,10,2,144.9,39,92.4
"M Klinger","Spin","BBL","ALL",9999,26,261,269,12,15,6,97,22.4,66.5
"M Klinger","Spin","NTB","ALL",9999,35,362,360,12,19,7,100.6,30,73.1
"M Klinger","Spin","T20","ALL",9999,3,30,34,1,2,0,88.2,34,68.8
"M Kobayashi","Pace","T20","ALL",9999,9,105,111,3,10,2,94.6,37,53.5
"M Kobayashi","Spin","T20","ALL",9999,5,19,37,2,2,0,51.4,18.5,31.4
"M Kpaka","Pace","T20","ALL",9999,5,13,22,3,0,0,59.1,7.3,59.1
"M Kpaka","Spin","T20","ALL",9999,3,19,20,1,0,1,95,20,68.4
"M Kyriacou","Pace","T20","ALL",9999,5,62,70,3,2,2,88.6,23.3,63.6
"M Kyriacou","Spin","T20","ALL",9999,3,4,13,2,0,0,30.8,6.5,30.8
"M Labuschagne","Pace","BBL","ALL",9999,14,139,123,9,8,4,113,13.7,74.8
"M Labuschagne","Pace","NTB","ALL",9999,8,259,167,7,26,9,155.1,23.9,76.5
"M Labuschagne","Spin","BBL","ALL",9999,13,134,117,5,9,1,114.5,23.4,86
"M Labuschagne","Spin","NTB","ALL",9999,8,130,109,0,9,2,119.3,999,83.7
"M Leporoporo","Pace","T20","ALL",9999,3,8,13,2,1,0,61.5,6.5,33.3
"M Leporoporo","Spin","T20","ALL",9999,2,3,7,2,0,0,42.9,3.5,42.9
"M Magagula","Pace","T20","ALL",9999,5,12,32,2,1,0,37.5,16,25.8
"M Magagula","Spin","T20","ALL",9999,5,28,39,3,2,1,71.8,13,38.9
"M Mansaray","Pace","T20","ALL",9999,2,2,6,1,0,0,33.3,6,33.3
"M Mansaray","Spin","T20","ALL",9999,2,5,10,1,0,0,50,10,50
"M Markande","Pace","IPL","ALL",9999,5,18,19,2,2,0,94.7,9.5,58.8
"M Markande","Spin","IPL","ALL",9999,1,2,5,0,0,0,40,999,40
"M Martin","Spin","T20","ALL",9999,1,2,6,1,0,0,33.3,6,33.3
"M Mooketsi","Pace","T20","ALL",9999,4,5,17,3,0,0,29.4,5.7,29.4
"M Mooketsi","Spin","T20","ALL",9999,3,3,7,2,0,0,42.9,3.5,42.9
"M Morkel","Pace","BBL","ALL",9999,2,4,9,1,0,0,44.4,9,44.4
"M Morkel","Pace","IPL","ALL",9999,1,1,1,0,0,0,100,999,100
"M Morkel","Pace","NTB","ALL",9999,3,7,15,2,0,0,46.7,7.5,46.7
"M Morkel","Pace","T20","ALL",9999,3,6,5,1,1,0,120,5,50
"M Morkel","Spin","BBL","ALL",9999,1,0,2,1,0,0,0,2,0
"M Mosehle","Pace","T20","ALL",9999,6,98,57,3,5,9,171.9,19,55.8
"M Mosehle","Spin","T20","ALL",9999,3,8,9,2,1,0,88.9,4.5,50
"M Mutumbe","Pace","T20","ALL",9999,1,0,1,0,0,0,0,999,0
"M Mwamadi","Pace","T20","ALL",9999,3,4,9,0,0,0,44.4,999,44.4
"M Mwamadi","Spin","T20","ALL",9999,1,1,1,0,0,0,100,999,100
"M Prasidh Krishna","Pace","IPL","ALL",9999,3,3,6,1,0,0,50,6,50
"M Prasidh Krishna","Spin","IPL","ALL",9999,2,1,7,1,0,0,14.3,7,14.3
"M Pretorius","Pace","CPL","ALL",9999,7,45,31,5,4,3,145.2,6.2,45.8
"M Pretorius","Spin","CPL","ALL",9999,3,3,7,1,0,0,42.9,7,42.9
"M Sarenac","Pace","T20","ALL",9999,2,2,6,1,0,0,33.3,6,33.3
"M Sarenac","Spin","T20","ALL",9999,1,0,1,1,0,0,0,1,0
"M Shahbaz Butt","Pace","T20","ALL",9999,1,4,1,0,1,0,400,999,NA
"M Shahbaz Butt","Spin","T20","ALL",9999,1,0,1,1,0,0,0,1,0
"M Shahrukh Khan","Pace","IPL","ALL",9999,9,90,62,6,9,4,145.2,10.3,61.2
"M Shahrukh Khan","Spin","IPL","ALL",9999,7,54,49,1,0,5,110.2,49,54.5
"M Shumba","Pace","T20","ALL",9999,9,135,97,4,9,8,139.2,24.2,63.7
"M Shumba","Spin","T20","ALL",9999,9,75,75,2,4,2,100,37.5,68.1
"M Simmons","Pace","T20","ALL",9999,1,15,13,0,1,0,115.4,999,91.7
"M Simpson-Parker","Pace","T20","ALL",9999,3,107,80,2,5,4,133.8,40,88.7
"M Simpson-Parker","Spin","T20","ALL",9999,2,13,7,0,1,0,185.7,999,150
"M Singh","Pace","T20","ALL",9999,1,3,4,1,0,0,75,4,75
"M Stary","Pace","T20","ALL",9999,1,7,13,0,1,0,53.8,999,25
"M Stary","Spin","T20","ALL",9999,1,15,19,1,1,0,78.9,19,61.1
"M Stoman","Pace","T20","ALL",9999,1,6,1,0,0,1,600,999,NA
"M Syahadat Ramli","Pace","T20","ALL",9999,9,49,34,4,6,1,144.1,8.5,70.4
"M Syahadat Ramli","Spin","T20","ALL",9999,10,85,72,4,4,6,118.1,18,53.2
"M Taniyama","Pace","T20","ALL",9999,8,151,144,4,21,0,104.9,36,54.5
"M Taniyama","Spin","T20","ALL",9999,3,60,38,1,6,3,157.9,38,62.1
"M Theekshana","Pace","T20","ALL",9999,1,7,3,0,1,0,233.3,999,150
"M Theekshana","Spin","T20","ALL",9999,2,2,4,2,0,0,50,2,50
"M Thurgate","Pace","T20","ALL",9999,4,10,22,3,1,0,45.5,7.3,28.6
"M Thurgate","Spin","T20","ALL",9999,1,9,5,0,0,1,180,999,75
"M Vaik","Pace","T20","ALL",9999,5,29,48,5,1,0,60.4,9.6,53.2
"M Vaik","Spin","T20","ALL",9999,3,7,17,0,0,0,41.2,999,41.2
"M van Lingen","Pace","T20","ALL",9999,5,55,62,5,6,1,88.7,12.4,45.5
"M van Lingen","Spin","T20","ALL",9999,3,17,12,0,1,1,141.7,999,70
"M Vijay","Pace","IPL","ALL",9999,20,351,299,11,39,8,117.4,27.2,58.3
"M Vijay","Spin","IPL","ALL",9999,13,212,180,8,21,4,117.8,22.5,67.1
"M Vohra","Pace","IPL","ALL",9999,24,281,230,16,35,7,122.2,14.4,52.7
"M Vohra","Spin","IPL","ALL",9999,15,187,135,8,14,10,138.5,16.9,64
"M Wright","Pace","BBL","ALL",9999,8,81,54,7,5,4,150,7.7,82.2
"M Wright","Spin","BBL","ALL",9999,8,97,99,0,7,1,98,999,69.2
"MA Agarwal","Pace","IPL","ALL",9999,49,863,634,30,92,26,136.1,21.1,65.7
"MA Agarwal","Spin","IPL","ALL",9999,37,491,318,20,35,26,154.4,15.9,75.9
"MA Aponso","Pace","T20","ALL",9999,1,0,2,1,0,0,0,2,0
"MA Ashraf","Pace","NTB","ALL",9999,2,1,4,1,0,0,25,4,25
"MA Baig","Pace","T20","ALL",9999,6,62,70,2,6,0,88.6,35,59.4
"MA Baig","Spin","T20","ALL",9999,4,19,27,1,0,0,70.4,27,70.4
"MA Beer","Pace","BBL","ALL",9999,3,11,7,0,1,0,157.1,999,116.7
"MA Carberry","Pace","BBL","ALL",9999,2,45,30,2,7,0,150,15,73.9
"MA Carberry","Pace","NTB","ALL",9999,14,255,182,11,29,8,140.1,16.5,62.8
"MA Carberry","Spin","BBL","ALL",9999,2,29,16,0,4,1,181.2,999,63.6
"MA Carberry","Spin","NTB","ALL",9999,10,111,82,2,6,5,135.4,41,80.3
"MA Cohen","Pace","NTB","ALL",9999,3,21,18,1,1,1,116.7,18,68.8
"MA Leask","Pace","NTB","ALL",9999,7,35,28,4,1,3,125,7,54.2
"MA Leask","Pace","T20","ALL",9999,22,229,159,14,15,13,144,11.4,69.5
"MA Leask","Spin","NTB","ALL",9999,5,17,17,2,2,0,100,8.5,60
"MA Leask","Spin","T20","ALL",9999,18,105,85,7,8,4,123.5,12.1,67.1
"MA Starc","Pace","T20","ALL",9999,10,64,51,4,4,2,125.5,12.8,80
"MA Starc","Spin","T20","ALL",9999,4,7,10,0,0,0,70,999,70
"MA Wallace","Pace","NTB","ALL",9999,8,113,116,4,13,0,97.4,29,59.2
"MA Wallace","Spin","NTB","ALL",9999,5,40,38,3,3,0,105.3,12.7,80
"MA Wood","Pace","IPL","ALL",9999,1,1,3,1,0,0,33.3,3,33.3
"MA Wood","Pace","NTB","ALL",9999,5,36,33,1,4,0,109.1,33,69
"MA Wood","Pace","T20","ALL",9999,3,11,13,0,1,0,84.6,999,58.3
"MA Wood","Spin","NTB","ALL",9999,1,8,11,1,0,0,72.7,11,72.7
"Mahedi Hasan","Pace","T20","ALL",9999,14,102,105,7,6,3,97.1,15,62.5
"Mahedi Hasan","Spin","T20","ALL",9999,13,71,67,7,5,3,106,9.6,55.9
"Mahmad Data","Pace","T20","ALL",9999,3,11,26,1,1,0,42.3,26,28
"Mahmad Data","Spin","T20","ALL",9999,2,3,8,1,0,0,37.5,8,37.5
"Mahmud Jasat","Pace","T20","ALL",9999,5,16,66,4,1,0,24.2,16.5,18.5
"Mahmud Jasat","Spin","T20","ALL",9999,4,6,18,1,0,0,33.3,18,33.3
"Mahmudullah","Pace","CPL","ALL",9999,9,34,36,2,2,1,94.4,18,60.6
"Mahmudullah","Pace","PSL","ALL",9999,5,50,43,3,4,1,116.3,14.3,73.7
"Mahmudullah","Pace","T20","ALL",9999,64,985,717,31,92,29,137.4,23.1,74.3
"Mahmudullah","Spin","CPL","ALL",9999,8,64,47,5,3,4,136.2,9.4,70
"Mahmudullah","Spin","PSL","ALL",9999,4,21,16,0,2,1,131.2,999,53.8
"Mahmudullah","Spin","T20","ALL",9999,58,509,490,20,27,15,103.9,24.5,69.4
"Maidul Islam","Pace","T20","ALL",9999,5,97,95,5,7,4,102.1,19,53.6
"Maidul Islam","Spin","T20","ALL",9999,5,37,39,0,5,0,94.9,999,50
"Mamoon Latif","Pace","T20","ALL",9999,5,55,49,3,6,1,112.2,16.3,59.5
"Mamoon Latif","Spin","T20","ALL",9999,4,19,21,2,2,0,90.5,10.5,57.9
"Mandeep Singh","Pace","IPL","ALL",9999,37,477,359,16,46,15,132.9,22.4,68.1
"Mandeep Singh","Pace","T20","ALL",9999,3,68,55,2,9,1,123.6,27.5,57.8
"Mandeep Singh","Spin","IPL","ALL",9999,30,264,235,13,13,8,112.3,18.1,76.6
"Mandeep Singh","Spin","T20","ALL",9999,2,19,18,0,2,0,105.6,999,68.8
"Manoj Adhikari","Spin","T20","ALL",9999,2,0,11,2,0,0,0,5.5,0
"Manpreet Singh","Pace","T20","ALL",9999,28,275,229,15,21,7,120.1,15.3,74.1
"Manpreet Singh","Spin","T20","ALL",9999,29,273,293,11,16,3,93.2,26.6,69.7
"Mashrafe Mortaza","Pace","T20","ALL",9999,12,53,44,8,5,2,120.5,5.5,56.8
"Mashrafe Mortaza","Spin","T20","ALL",9999,6,27,18,3,1,3,150,6,35.7
"Masood Jayezeh","Pace","T20","ALL",9999,1,1,4,1,0,0,25,4,25
"Mazharul Islam","Pace","T20","ALL",9999,5,47,47,3,5,0,100,15.7,64.3
"Mazharul Islam","Spin","T20","ALL",9999,2,26,30,1,1,1,86.7,30,57.1
"MB Gauna","Pace","T20","ALL",9999,5,48,34,3,7,1,141.2,11.3,53.8
"MB Gauna","Spin","T20","ALL",9999,4,29,30,2,4,0,96.7,15,50
"MB Tambe","Pace","T20","ALL",9999,4,22,25,2,2,0,88,12.5,60.9
"MB Tambe","Spin","T20","ALL",9999,1,1,2,0,0,0,50,999,50
"MC Henriques","Pace","BBL","ALL",9999,42,566,388,22,40,22,145.9,17.6,84
"MC Henriques","Pace","IPL","ALL",9999,26,286,206,11,32,6,138.8,18.7,72.6
"MC Henriques","Pace","NTB","ALL",9999,7,115,100,5,10,2,115,20,71.6
"MC Henriques","Pace","T20","ALL",9999,17,169,127,7,7,8,133.1,18.1,83
"MC Henriques","Spin","BBL","ALL",9999,37,475,340,16,30,21,139.7,21.2,79.2
"MC Henriques","Spin","IPL","ALL",9999,23,204,185,9,11,5,110.3,20.6,76.9
"MC Henriques","Spin","NTB","ALL",9999,6,67,66,1,5,1,101.5,66,68.3
"MC Henriques","Spin","T20","ALL",9999,17,173,146,8,9,7,118.5,18.2,73.1
"MC Sorensen","Pace","T20","ALL",9999,5,28,21,4,0,1,133.3,5.2,110
"MC Sorensen","Spin","T20","ALL",9999,2,15,9,0,1,0,166.7,999,137.5
"MD Dai","Pace","T20","ALL",9999,4,44,40,1,2,0,110,40,94.7
"MD Dai","Spin","T20","ALL",9999,5,41,49,4,1,0,83.7,12.2,77.1
"MD du Preez","Pace","T20","ALL",9999,5,54,47,3,3,2,114.9,15.7,71.4
"MD du Preez","Spin","T20","ALL",9999,2,20,18,0,2,0,111.1,999,75
"MD Fisher","Pace","NTB","ALL",9999,9,54,38,6,2,5,142.1,6.3,51.6
"MD Fisher","Spin","NTB","ALL",9999,1,7,7,0,1,0,100,999,50
"MD Garratt","Pace","T20","ALL",9999,3,3,11,2,0,0,27.3,5.5,27.3
"MD Garratt","Spin","T20","ALL",9999,1,1,2,0,0,0,50,999,50
"MD Gunathilaka","Pace","T20","ALL",9999,28,379,295,17,47,9,128.5,17.4,57.3
"MD Gunathilaka","Spin","T20","ALL",9999,20,189,172,12,14,5,109.9,14.3,67.3
"Md Nurul Huda","Spin","T20","ALL",9999,1,3,5,1,0,0,60,5,60
"MD Patel","Pace","T20","ALL",9999,11,220,126,5,22,12,174.6,25.2,65.2
"MD Patel","Spin","T20","ALL",9999,9,64,68,5,6,2,94.1,13.6,46.7
"Md Shafiqul Haque","Pace","T20","ALL",9999,7,61,41,1,2,5,148.8,41,67.6
"Md Shafiqul Haque","Spin","T20","ALL",9999,5,31,29,4,3,1,106.9,7.2,52
"MD Shanaka","Pace","T20","ALL",9999,41,442,377,24,35,19,117.2,15.7,58.2
"MD Shanaka","Spin","T20","ALL",9999,39,250,271,17,12,13,92.3,15.9,50.4
"MD Stoneman","Pace","NTB","ALL",9999,31,480,366,22,66,8,131.1,16.6,57.5
"MD Stoneman","Spin","NTB","ALL",9999,17,128,139,7,8,0,92.1,19.9,73.3
"MD Taylor","Pace","NTB","ALL",9999,10,30,41,5,2,0,73.2,8.2,56.4
"MD Taylor","Spin","NTB","ALL",9999,1,0,2,0,0,0,0,999,0
"MDE Holden","Pace","NTB","ALL",9999,22,366,280,10,46,5,130.7,28,66.4
"MDE Holden","Spin","NTB","ALL",9999,17,173,140,10,11,8,123.6,14,66.9
"MDKJ Perera","Pace","T20","ALL",9999,33,578,421,18,64,13,137.3,23.4,70.9
"MDKJ Perera","Spin","T20","ALL",9999,27,365,301,18,20,15,121.3,16.7,73.3
"ME Claydon","Pace","NTB","ALL",9999,14,34,51,2,1,0,66.7,25.5,60
"ME Claydon","Spin","NTB","ALL",9999,2,2,2,0,0,0,100,999,100
"ME Leoela","Pace","T20","ALL",9999,2,8,9,1,0,0,88.9,9,88.9
"ME Milnes","Pace","NTB","ALL",9999,6,23,15,2,2,1,153.3,7.5,75
"ME Milnes","Spin","NTB","ALL",9999,1,0,1,1,0,0,0,1,0
"Meet Bhavsar","Pace","T20","ALL",9999,4,44,26,1,4,2,169.2,26,80
"Meet Bhavsar","Spin","T20","ALL",9999,4,37,37,3,3,1,100,12.3,57.6
"Mehedi Hasan Miraz","Pace","T20","ALL",9999,11,87,69,9,7,4,126.1,7.7,60.3
"Mehedi Hasan Miraz","Spin","T20","ALL",9999,3,7,11,0,0,0,63.6,999,63.6
"Mehran Khan","Pace","T20","ALL",9999,7,65,55,3,4,2,118.2,18.3,75.5
"Mehran Khan","Spin","T20","ALL",9999,8,36,32,5,1,3,112.5,6.4,50
"Mehran Siasar","Pace","T20","ALL",9999,1,0,3,1,0,0,0,3,0
"MEK Hussey","Pace","BBL","ALL",9999,6,156,111,4,15,4,140.5,27.8,78.3
"MEK Hussey","Pace","CPL","ALL",9999,7,58,62,5,4,1,93.5,12.4,63.2
"MEK Hussey","Spin","BBL","ALL",9999,5,54,52,2,4,0,103.8,26,79.2
"MEK Hussey","Spin","CPL","ALL",9999,7,44,44,1,1,1,100,44,81
"MF Maharoof","Pace","T20","ALL",9999,1,10,16,1,0,0,62.5,16,62.5
"MG Erasmus","Pace","T20","ALL",9999,24,341,269,13,34,11,126.8,20.7,62.1
"MG Erasmus","Spin","T20","ALL",9999,25,310,254,11,20,12,122,23.1,71.2
"MG Hogan","Pace","NTB","ALL",9999,8,38,38,2,2,1,100,19,68.6
"MG Hogan","Spin","NTB","ALL",9999,3,20,12,2,1,2,166.7,6,44.4
"MG Hunter","Pace","T20","ALL",9999,3,38,48,1,2,0,79.2,48,65.2
"MG Hunter","Spin","T20","ALL",9999,4,22,32,1,0,1,68.8,32,51.6
"MG Johnson","Pace","BBL","ALL",9999,1,4,6,0,0,0,66.7,999,66.7
"MG Johnson","Pace","IPL","ALL",9999,6,36,33,2,3,1,109.1,16.5,62.1
"MG Johnson","Spin","IPL","ALL",9999,2,4,7,0,0,0,57.1,999,57.1
"MG Neser","Pace","BBL","ALL",9999,25,203,154,14,19,7,131.8,11,66.4
"MG Neser","Spin","BBL","ALL",9999,13,47,49,7,1,3,95.9,7,55.6
"MGK Burgess","Pace","NTB","ALL",9999,34,280,240,18,22,12,116.7,13.3,58.3
"MGK Burgess","Spin","NTB","ALL",9999,27,167,153,12,10,4,109.2,12.8,74.1
"MGSM Fernando","Pace","T20","ALL",9999,3,13,12,3,2,0,108.3,4,50
"MGSM Fernando","Spin","T20","ALL",9999,2,11,7,0,0,1,157.1,999,83.3
"MH Cross","Pace","T20","ALL",9999,33,392,361,22,45,7,108.6,16.4,55
"MH Cross","Spin","T20","ALL",9999,25,253,236,7,10,8,107.2,33.7,75.7
"MH McKiernan","Pace","NTB","ALL",9999,8,52,43,6,6,0,120.9,7.2,75.7
"MH McKiernan","Spin","NTB","ALL",9999,5,17,17,3,1,1,100,5.7,46.7
"MH Wessels","Pace","NTB","ALL",9999,71,1505,980,48,160,70,153.6,20.4,59.3
"MH Wessels","Pace","PSL","ALL",9999,8,51,55,4,5,1,92.7,13.8,51
"MH Wessels","Spin","NTB","ALL",9999,56,612,532,19,52,15,115,28,67.5
"MH Wessels","Spin","PSL","ALL",9999,7,46,40,3,6,1,115,13.3,48.5
"MIA Patel","Pace","T20","ALL",9999,3,11,18,1,0,0,61.1,18,61.1
"MIA Patel","Spin","T20","ALL",9999,1,5,5,1,1,0,100,5,25
"Mian Mehmood","Pace","T20","ALL",9999,6,40,49,6,3,0,81.6,8.2,60.9
"Mian Mehmood","Spin","T20","ALL",9999,4,13,14,1,1,0,92.9,14,69.2
"Mihusan Hamid","Pace","T20","ALL",9999,1,19,13,0,2,1,146.2,999,50
"Mihusan Hamid","Spin","T20","ALL",9999,3,11,19,2,1,0,57.9,9.5,38.9
"Miles Hammond","Pace","NTB","ALL",9999,41,689,509,31,86,24,135.4,16.4,50.4
"Miles Hammond","Spin","NTB","ALL",9999,36,319,223,14,37,11,143,15.9,60
"Mir Hamza","Pace","PSL","ALL",9999,1,0,1,0,0,0,0,999,0
"Mir Hamza","Spin","PSL","ALL",9999,1,1,1,1,0,0,100,1,100
"Mirwais Ashraf","Pace","T20","ALL",9999,1,1,1,0,0,0,100,999,100
"Mirza Ahsan","Pace","T20","ALL",9999,3,61,30,2,4,3,203.3,15,117.4
"Mirza Ahsan","Spin","T20","ALL",9999,2,20,7,0,1,2,285.7,999,100
"Misbah-ul-Haq","Pace","PSL","ALL",9999,22,271,235,10,27,7,115.3,23.5,60.2
"Misbah-ul-Haq","Spin","PSL","ALL",9999,19,235,216,6,15,11,108.8,36,57.4
"Mitulkumar Patel","Pace","T20","ALL",9999,2,10,25,0,1,0,40,999,25
"Mitulkumar Patel","Spin","T20","ALL",9999,3,18,41,3,3,0,43.9,13.7,15.8
"MJ Ansell","Pace","T20","ALL",9999,2,5,7,2,1,0,71.4,3.5,16.7
"MJ Ansell","Spin","T20","ALL",9999,2,11,8,1,1,0,137.5,8,100
"MJ Cosgrove","Pace","NTB","ALL",9999,50,871,649,31,112,16,134.2,20.9,62.8
"MJ Cosgrove","Spin","NTB","ALL",9999,34,368,291,14,22,11,126.5,20.8,82.9
"MJ Guptill","Pace","CPL","ALL",9999,17,208,202,12,8,10,103,16.8,63
"MJ Guptill","Pace","IPL","ALL",9999,13,200,144,8,20,10,138.9,18,52.6
"MJ Guptill","Pace","NTB","ALL",9999,20,449,328,16,49,18,136.9,20.5,55.6
"MJ Guptill","Pace","PSL","ALL",9999,5,55,50,4,4,3,110,12.5,48.8
"MJ Guptill","Pace","T20","ALL",9999,53,1139,763,34,104,66,149.3,22.4,55.1
"MJ Guptill","Spin","CPL","ALL",9999,14,147,145,6,11,6,101.4,24.2,52.3
"MJ Guptill","Spin","IPL","ALL",9999,6,71,53,4,4,5,134,13.2,56.8
"MJ Guptill","Spin","NTB","ALL",9999,14,188,116,4,11,14,162.1,29,65.9
"MJ Guptill","Spin","PSL","ALL",9999,3,14,15,1,2,0,93.3,15,46.2
"MJ Guptill","Spin","T20","ALL",9999,39,572,381,19,42,36,150.1,20.1,62
"MJ Henry","Pace","NTB","ALL",9999,12,100,61,7,7,6,163.9,8.7,75
"MJ Henry","Pace","T20","ALL",9999,1,10,5,1,2,0,200,5,66.7
"MJ Henry","Spin","NTB","ALL",9999,7,29,24,4,1,2,120.8,6,61.9
"MJ Lamb","Pace","NTB","ALL",9999,7,106,84,5,10,3,126.2,16.8,67.6
"MJ Lamb","Spin","NTB","ALL",9999,8,57,51,2,4,1,111.8,25.5,76.1
"MJ Lumb","Pace","BBL","ALL",9999,7,123,85,5,13,2,144.7,17,84.3
"MJ Lumb","Pace","NTB","ALL",9999,14,227,151,9,29,10,150.3,16.8,45.5
"MJ Lumb","Spin","BBL","ALL",9999,7,38,53,3,2,0,71.7,17.7,58.8
"MJ Lumb","Spin","NTB","ALL",9999,9,59,54,4,7,1,109.3,13.5,54.3
"MJ McClenaghan","Pace","BBL","ALL",9999,4,10,13,3,0,0,76.9,4.3,76.9
"MJ McClenaghan","Pace","CPL","ALL",9999,7,13,15,4,0,1,86.7,3.8,50
"MJ McClenaghan","Pace","IPL","ALL",9999,16,48,53,8,5,1,90.6,6.6,46.8
"MJ McClenaghan","Pace","NTB","ALL",9999,2,5,4,1,1,0,125,4,33.3
"MJ McClenaghan","Pace","PSL","ALL",9999,1,4,3,1,1,0,133.3,3,0
"MJ McClenaghan","Pace","T20","ALL",9999,3,11,7,2,0,1,157.1,3.5,83.3
"MJ McClenaghan","Spin","CPL","ALL",9999,4,11,11,1,1,0,100,11,70
"MJ McClenaghan","Spin","IPL","ALL",9999,4,26,12,3,0,4,216.7,4,25
"MJ McClenaghan","Spin","T20","ALL",9999,1,6,4,0,0,1,150,999,0
"MJ Owen","Pace","BBL","ALL",9999,1,11,7,0,2,0,157.1,999,60
"MJ Potts","Pace","NTB","ALL",9999,12,46,45,5,2,1,102.2,9,76.2
"MJ Potts","Spin","NTB","ALL",9999,6,61,34,1,5,3,179.4,34,88.5
"MJ Richardson","Pace","NTB","ALL",9999,23,267,235,9,23,3,113.6,26.1,75.1
"MJ Richardson","Pace","T20","ALL",9999,9,126,113,4,15,0,111.5,28.2,67.3
"MJ Richardson","Spin","NTB","ALL",9999,16,177,147,9,12,6,120.4,16.3,72.1
"MJ Richardson","Spin","T20","ALL",9999,10,113,123,3,9,1,91.9,41,62.8
"MJ Ross","Pace","T20","ALL",9999,5,25,22,3,2,0,113.6,7.3,85
"MJ Ross","Spin","T20","ALL",9999,7,69,45,1,3,4,153.3,45,86.8
"MJ Santner","Pace","CPL","ALL",9999,7,81,77,2,6,2,105.2,38.5,65.2
"MJ Santner","Pace","IPL","ALL",9999,2,28,16,1,0,3,175,16,76.9
"MJ Santner","Pace","NTB","ALL",9999,11,120,106,4,8,5,113.2,26.5,62.4
"MJ Santner","Pace","T20","ALL",9999,36,275,201,17,21,10,136.8,11.8,77.1
"MJ Santner","Spin","CPL","ALL",9999,6,64,49,1,3,3,130.6,49,79.1
"MJ Santner","Spin","IPL","ALL",9999,1,4,7,0,0,0,57.1,999,57.1
"MJ Santner","Spin","NTB","ALL",9999,13,120,96,9,6,8,125,10.7,58.5
